mo,fullname,genus,species,kingdom,phylum,class,fullname
F_ASPRG_TRTC,Aspergillus tritici,Aspergillus,tritici,Fungi,Ascomycota,Eurotiomycetes,Aspergillus tritici
F_ASPRG_TRKN,Aspergillus turkensis,Aspergillus,turkensis,Fungi,Ascomycota,Eurotiomycetes,Aspergillus turkensis
F_ASPRG_TRSP,Aspergillus trisporus,Aspergillus,trisporus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus trisporus
F_ASPRG_NNSS,Aspergillus transmontanensis,Aspergillus,transmontanensis,Fungi,Ascomycota,Eurotiomycetes,Aspergillus transmontanensis
F_ASPRG_TRNS,Aspergillus transcarpathicus,Aspergillus,transcarpathicus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus transcarpathicus
F_ASPRG_TXCS,Aspergillus toxicus,Aspergillus,toxicus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus toxicus
F_ASPRG_TXCR,Aspergillus toxicarius,Aspergillus,toxicarius,Fungi,Ascomycota,Eurotiomycetes,Aspergillus toxicarius
F_ASPRG_TNPH,Aspergillus tonophilus,Aspergillus,tonophilus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus tonophilus
F_ASPRG_TGNS,Aspergillus togoensis,Aspergillus,togoensis,Fungi,Ascomycota,Eurotiomycetes,Aspergillus togoensis
F_ASPRG_TRND,Aspergillus trinidadensis,Aspergillus,trinidadensis,Fungi,Ascomycota,Eurotiomycetes,Aspergillus trinidadensis
F_ASPRG_TRBS,Aspergillus tiraboschii,Aspergillus,tiraboschii,Fungi,Ascomycota,Eurotiomycetes,Aspergillus tiraboschii
F_ASPRG_UDGW,Aspergillus udagawae,Aspergillus,udagawae,Fungi,Ascomycota,Eurotiomycetes,Aspergillus udagawae
F_ASPRG_UNDL,Aspergillus undulatus,Aspergillus,undulatus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus undulatus
F_ASPRG_VRSC,Aspergillus versicolor,Aspergillus,versicolor,Fungi,Ascomycota,Eurotiomycetes,Aspergillus versicolor
F_ASPRG_VRRC,Aspergillus verrucosus,Aspergillus,verrucosus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus verrucosus
F_ASPRG_VNZL,Aspergillus venezuelensis,Aspergillus,venezuelensis,Fungi,Ascomycota,Eurotiomycetes,Aspergillus venezuelensis
F_ASPRG_VRGT,Aspergillus variegatus,Aspergillus,variegatus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus variegatus
F_ASPRG_VARNS,Aspergillus varians,Aspergillus,varians,Fungi,Ascomycota,Eurotiomycetes,Aspergillus varians
F_ASPRG_VRBL,Aspergillus variabilis,Aspergillus,variabilis,Fungi,Ascomycota,Eurotiomycetes,Aspergillus variabilis
F_ASPRG_UMBRN,Aspergillus umbrinus,Aspergillus,umbrinus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus umbrinus
F_ASPRG_VNDR,Aspergillus vandermerwei,Aspergillus,vandermerwei,Fungi,Ascomycota,Eurotiomycetes,Aspergillus vandermerwei
F_ASPRG_UVRM,Aspergillus uvarum,Aspergillus,uvarum,Fungi,Ascomycota,Eurotiomycetes,Aspergillus uvarum
